batch_no,classifier,accuracy,recall_0,recall_4,precision_0,precision_4,f1_0,f1_4,batch_size
63,NB,0.797,0.7893175074183977,0.8048533872598584,0.805247225025227,0.7888999008919723,0.7972027972027972,0.7967967967967968,10000
63,SGD,0.74,0.6607319485657764,0.8210313447927199,0.7905325443786982,0.703030303030303,0.7198275862068966,0.7574626865671641,10000
64,PA,0.6765,0.7087179487179487,0.6458536585365854,0.6555977229601518,0.6997885835095138,0.681123706259241,0.671740233384069,10000
64,NB,0.786,0.8092307692307692,0.7639024390243903,0.7652764306498545,0.8080495356037152,0.7866400797607178,0.7853560682046138,10000
64,SGD,0.74,0.6902564102564103,0.7873170731707317,0.755331088664422,0.7276825969341749,0.7213290460878884,0.7563261480787254,10000
65,PA,0.699,0.6649590163934426,0.7314453125,0.7023809523809523,0.6960966542750929,0.6831578947368421,0.7133333333333333,10000
65,NB,0.7795,0.7561475409836066,0.8017578125,0.7842720510095643,0.7752596789423984,0.7699530516431925,0.7882861257801248,10000
65,SGD,0.734,0.7028688524590164,0.763671875,0.7392241379310345,0.7294776119402985,0.7205882352941176,0.7461832061068701,10000
66,PA,0.6945,0.6887351778656127,0.7004048582995951,0.701913393756294,0.6871896722939425,0.6952618453865336,0.693734335839599,10000
66,NB,0.769,0.7252964426877471,0.8137651821862348,0.7995642701525054,0.7430683918669131,0.7606217616580312,0.7768115942028987,10000
66,SGD,0.7395,0.6719367588932806,0.8087044534412956,0.7825086306098964,0.7064544650751547,0.7230196703880915,0.7541293062765455,10000
67,PA,0.6945,0.6416416416416416,0.7472527472527473,0.7170022371364653,0.6763110307414105,0.6772319070258848,0.710014238253441,10000
67,NB,0.7865,0.8128128128128128,0.7602397602397603,0.7718631178707225,0.8027426160337553,0.7918088737201365,0.7809132888660851,10000
67,SGD,0.7515,0.6846846846846847,0.8181818181818182,0.789838337182448,0.7222222222222222,0.7335120643431636,0.7672131147540984,10000
68,PA,0.6845,0.6145307769929365,0.7532210109018831,0.7097902097902098,0.6654991243432574,0.6587344510546241,0.7066480706648071,10000
68,NB,0.7685,0.7356205852674067,0.800792864222002,0.7838709677419354,0.7551401869158878,0.7589796980739197,0.7772967772967773,10000
68,SGD,0.747,0.6791120080726539,0.8136769078295342,0.7816492450638792,0.7208077260755048,0.7267818574514038,0.7644320297951582,10000
69,PA,0.6795,0.627,0.732,0.7005586592178771,0.6624434389140271,0.6617414248021108,0.6954869358669833,10000
69,NB,0.791,0.836,0.746,0.7669724770642202,0.8197802197802198,0.7999999999999999,0.7811518324607329,10000
69,SGD,0.7255,0.651,0.8,0.7649823736780259,0.6962576153176675,0.7034035656401946,0.7445323406235459,10000
70,PA,0.69,0.6839378238341969,0.6956521739130435,0.676923076923077,0.7024390243902439,0.6804123711340206,0.6990291262135923,10000
70,NB,0.7745,0.7865284974093264,0.7632850241545893,0.7559760956175299,0.7931726907630522,0.770949720670391,0.7779419005416052,10000
70,SGD,0.744,0.6839378238341969,0.8,0.7612456747404844,0.7308031774051191,0.7205240174672489,0.7638376383763839,10000
71,PA,0.702,0.7232401157184185,0.6791277258566978,0.7082152974504249,0.6950053134962806,0.7156488549618322,0.6869747899159665,10000
